trial_path,operator_id,session_id,trial_id,planned_trial_id,attempt_no,verified_label,trial_status,intensity_instruction,speed_instruction,direction_instruction,position_instruction,sampling_rate_observed_hz,frame_count,duration_ms,quality_flags
operator_01/session_03/trial_000001,operator_01,session_03,trial_000001,trial_000001,1,IMPACT,VALID,NORMAL,,,CENTER,52.948557,748,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000002_attempt_02,operator_01,session_03,trial_000002_attempt_02,trial_000002,2,PAT,VALID,LIGHT,SLOW,,CENTER,53.212851,741,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000003_attempt_02,operator_01,session_03,trial_000003_attempt_02,trial_000003,2,RUB,VALID,NORMAL,SLOW,HORIZONTAL,CENTER,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000004,operator_01,session_03,trial_000004,trial_000004,1,TAP,VALID,LIGHT,,,CENTER,52.961847,748,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000005,operator_01,session_03,trial_000005,trial_000005,1,STATIC_TOUCH,VALID,LIGHT,SLOW,,CENTER,52.961847,741,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000006_attempt_02,operator_01,session_03,trial_000006_attempt_02,trial_000006,2,RUB,VALID,NORMAL,MEDIUM,VERTICAL,CENTER,52.697616,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000007,operator_01,session_03,trial_000007,trial_000007,1,IMPACT,VALID,FIRM,,,CENTER,52.710843,748,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000008,operator_01,session_03,trial_000008,trial_000008,1,STATIC_TOUCH,VALID,NORMAL,MEDIUM,,CENTER,53.212851,750,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000009,operator_01,session_03,trial_000009,trial_000009,1,IMPACT,VALID,NORMAL,,,CENTER,52.948557,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000010,operator_01,session_03,trial_000010,trial_000010,1,STROKE,VALID,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,52.697616,745,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000011,operator_01,session_03,trial_000011,trial_000011,1,STATIC_TOUCH,VALID,FIRM,SLOW,,CENTER,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000012_attempt_02,operator_01,session_03,trial_000012_attempt_02,trial_000012,2,RUB,VALID,FIRM,FAST,HORIZONTAL,CENTER,52.948557,748,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000013,operator_01,session_03,trial_000013,trial_000013,1,STROKE,VALID,NORMAL,MEDIUM,RIGHT_TO_LEFT,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000014,operator_01,session_03,trial_000014,trial_000014,1,POKE,VALID,LIGHT,,,TOP,53.199498,746,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000015_attempt_02,operator_01,session_03,trial_000015_attempt_02,trial_000015,2,PAT,VALID,NORMAL,MEDIUM,,CENTER,52.948557,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000016,operator_01,session_03,trial_000016,trial_000016,1,POKE,VALID,NORMAL,,,CENTER,52.961847,742,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000017,operator_01,session_03,trial_000017,trial_000017,1,IMPACT,VALID,FIRM,,,CENTER,52.948557,746,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000018_attempt_02,operator_01,session_03,trial_000018_attempt_02,trial_000018,2,PAT,VALID,FIRM,FAST,,CENTER,52.961847,741,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000019_attempt_02,operator_01,session_03,trial_000019_attempt_02,trial_000019,2,PAT,VALID,LIGHT,SLOW,,CENTER,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000020,operator_01,session_03,trial_000020,trial_000020,1,TAP,VALID,NORMAL,,,TOP_LEFT,52.948557,746,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000021,operator_01,session_03,trial_000021,trial_000021,1,STROKE,VALID,LIGHT,FAST,TOP_TO_BOTTOM,CENTER,53.212851,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000022,operator_01,session_03,trial_000022,trial_000022,1,POKE,VALID,FIRM,,,BOTTOM,52.948557,747,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000023,operator_01,session_03,trial_000023,trial_000023,1,STATIC_TOUCH,VALID,LIGHT,SLOW,,CENTER,52.710843,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000024,operator_01,session_03,trial_000024,trial_000024,1,TAP,VALID,FIRM,,,BOTTOM_RIGHT,52.710843,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000025_attempt_02,operator_01,session_03,trial_000025_attempt_02,trial_000025,2,RUB,VALID,NORMAL,SLOW,HORIZONTAL,CENTER,53.212851,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000026,operator_01,session_03,trial_000026,trial_000026,1,POKE,VALID,LIGHT,,,TOP,52.948557,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000027,operator_01,session_03,trial_000027,trial_000027,1,STATIC_TOUCH,VALID,NORMAL,MEDIUM,,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000028_attempt_02,operator_01,session_03,trial_000028_attempt_02,trial_000028,2,PAT,VALID,NORMAL,MEDIUM,,CENTER,52.697616,743,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000029,operator_01,session_03,trial_000029,trial_000029,1,STROKE,VALID,LIGHT,MEDIUM,BOTTOM_TO_TOP,CENTER,52.961847,747,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000030,operator_01,session_03,trial_000030,trial_000030,1,IMPACT,VALID,NORMAL,,,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000031,operator_01,session_03,trial_000031,trial_000031,1,TAP,VALID,LIGHT,,,CENTER,52.697616,743,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000032_attempt_02,operator_01,session_03,trial_000032_attempt_02,trial_000032,2,TAP,VALID,NORMAL,,,TOP_LEFT,53.212851,741,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000033,operator_01,session_03,trial_000033,trial_000033,1,STROKE,VALID,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,52.961847,747,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000034,operator_01,session_03,trial_000034,trial_000034,1,POKE,VALID,NORMAL,,,CENTER,52.961847,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_01/session_03/trial_000035_attempt_02,operator_01,session_03,trial_000035_attempt_02,trial_000035,2,RUB,VALID,NORMAL,MEDIUM,VERTICAL,CENTER,52.710843,741,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000001,operator_02,session_01,trial_000001,trial_000001,1,STROKE,VALID,NORMAL,SLOW,LEFT_TO_RIGHT,CENTER,52.948557,746,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000002,operator_02,session_01,trial_000002,trial_000002,1,STROKE,VALID,NORMAL,MEDIUM,RIGHT_TO_LEFT,CENTER,53.212851,742,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000003,operator_02,session_01,trial_000003,trial_000003,1,STATIC_TOUCH,VALID,LIGHT,SLOW,,CENTER,52.948557,746,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000004_attempt_02,operator_02,session_01,trial_000004_attempt_02,trial_000004,2,PAT,VALID,LIGHT,SLOW,,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000005,operator_02,session_01,trial_000005,trial_000005,1,IMPACT,VALID,NORMAL,,,CENTER,52.710843,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000006,operator_02,session_01,trial_000006,trial_000006,1,POKE,VALID,LIGHT,,,TOP,52.948557,739,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000007,operator_02,session_01,trial_000007,trial_000007,1,STROKE,VALID,LIGHT,FAST,TOP_TO_BOTTOM,CENTER,52.697616,747,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000008,operator_02,session_01,trial_000008,trial_000008,1,IMPACT,VALID,FIRM,,,CENTER,52.948557,744,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000009,operator_02,session_01,trial_000009,trial_000009,1,IMPACT,VALID,NORMAL,,,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000010,operator_02,session_01,trial_000010,trial_000010,1,TAP,VALID,LIGHT,,,CENTER,52.961847,745,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000011,operator_02,session_01,trial_000011,trial_000011,1,STROKE,VALID,LIGHT,MEDIUM,BOTTOM_TO_TOP,CENTER,52.710843,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000012_attempt_02,operator_02,session_01,trial_000012_attempt_02,trial_000012,2,RUB,VALID,NORMAL,SLOW,HORIZONTAL,CENTER,52.961847,743,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000013,operator_02,session_01,trial_000013,trial_000013,1,POKE,VALID,NORMAL,,,CENTER,52.961847,744,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000014,operator_02,session_01,trial_000014,trial_000014,1,TAP,VALID,NORMAL,,,TOP_LEFT,52.961847,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000015,operator_02,session_01,trial_000015,trial_000015,1,STATIC_TOUCH,VALID,NORMAL,MEDIUM,,CENTER,52.710843,742,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000016_attempt_02,operator_02,session_01,trial_000016_attempt_02,trial_000016,2,RUB,VALID,NORMAL,MEDIUM,VERTICAL,CENTER,52.961847,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000017_attempt_02,operator_02,session_01,trial_000017_attempt_02,trial_000017,2,PAT,VALID,NORMAL,MEDIUM,,CENTER,52.961847,746,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000018_attempt_02,operator_02,session_01,trial_000018_attempt_02,trial_000018,2,RUB,VALID,FIRM,FAST,HORIZONTAL,CENTER,52.948557,743,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000019,operator_02,session_01,trial_000019,trial_000019,1,POKE,VALID,FIRM,,,BOTTOM,52.948557,742,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000020_attempt_02,operator_02,session_01,trial_000020_attempt_02,trial_000020,2,RUB,VALID,NORMAL,SLOW,HORIZONTAL,CENTER,52.948557,740,3985.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
operator_02/session_01/trial_000021,operator_02,session_01,trial_000021,trial_000021,1,IMPACT,VALID,FIRM,,,CENTER,52.961847,741,3984.000,SDK_TOUCH_FLAG_ALWAYS_FALSE
